Scheme Name	Net Asset Value
Sundaram Diversified Equity (ELSS) Regular Plan - Income Distribution cum Capital Withdrawal (IDCW)	14.1050
Sundaram Tax Savings Fund (Formerly Known as Principal Tax Savings Fund) - Direct Plan Growth	411.5735
Sundaram Tax Savings Fund (Formerly Known as Principal Tax Savings Fund) Direct Plan - Half Yearly Income Distribution CUM Capital Withdrawal Option	411.1761
Sundaram Tax Savings Fund (Formerly Known as Principal Tax Savings Fund) Regular Growth	388.6988
Sundaram Tax Savings Fund (Formerly Known as Principal Tax Savings Fund) Regular Plan - Half Yearly Income Distribution CUM Capital Withdrawal Option	348.7655
	
	
	
Tata India Tax Savings Fund- Direct Plan - Payout of IDCW Option	175.0243
Tata India Tax Savings Fund- Regular Plan - Payout of IDCW Option	81.2587
Tata India Tax Savings Fund-Growth-Direct Plan	37.5674
Tata India Tax Savings Fund-Growth-Regular Plan	33.4721
	
	
	
Taurus Taxshield - Direct Plan - Growth	148.34
Taurus Taxshield - Direct Plan - Payout of Income Distribution cum Capital Withdrawal option	68.37
Taurus Taxshield - Regular Plan - Growth	137.58
Taurus Taxshield - Regular Plan - Payout of Income Distribution cum Capital Withdrawal option	64.45
	
	
	
Union Tax Saver (ELSS) Fund - Direct Plan - Growth Option	53.23
Union Tax Saver (ELSS) Fund - Direct Plan - IDCW Option	53.23
Union Tax Saver (ELSS) Fund - Growth Option	49.80
Union Tax Saver (ELSS) Fund - IDCW Option	27.84
	
	
	
UTI - Long Term Equity Fund (Tax Saving) - Direct Plan - Growth Option	176.4136
UTI - Long Term Equity Fund (Tax Saving) - Regular Plan - Growth Option	160.4353
UTI Long Term Equity Fund ( Tax Saving ) - Direct Plan - IDCW	41.5742
UTI Long Term Equity Fund ( Tax Saving ) - Regular Plan - IDCW	30.6497
	
	
	
WhiteOak Capital Tax Saver Fund Direct Plan Growth	12.271
WhiteOak Capital Tax Saver Fund Direct Plan IDCW	12.271
WhiteOak Capital Tax Saver Fund Regular Plan Growth	12.047
WhiteOak Capital Tax Saver Fund Regular Plan IDCW	12.047
	
	
	
	
	
360 ONE FLEXICAP FUND-DIRECT PLAN- GROWTH	10.6689
360 ONE FLEXICAP FUND-DIRECT PLAN- IDCW	10.6689
360 ONE FLEXICAP FUND-REGULAR PLAN- GROWTH	10.6226
360 ONE FLEXICAP FUND-REGULAR PLAN- IDCW	10.6226
	
	
	
Aditya Birla Sun Life Flexi Cap Fund - Growth - Direct Plan	1439.71
Aditya Birla Sun Life Flexi Cap Fund - Growth - Regular Plan	1306.63
Aditya Birla Sun Life Flexi Cap Fund -DIRECT - IDCW	192.46
Aditya Birla Sun Life Flexi Cap Fund -Regular - IDCW	138.21
	
	
	
Axis Flexi Cap Fund - Direct Plan - Growth	21.38
Axis Flexi Cap fund - Direct Plan - IDCW	14.78
Axis Flexi Cap Fund - Regular Plan - Growth	19.71
Axis Flexi Cap Fund - Regular Plan - IDCW	13.77
	
	
	
Bajaj Finserv Flexi Cap Fund -Regular Plan-Growth	10.203
Bajaj Finserv Flexi Cap Fund-Direct Plan-Growth	10.225
Bajaj Finserv Flexi Cap Fund-Direct Plan-IDCW	10.225
Bajaj Finserv Flexi Cap Fund-Regular Plan-IDCW	10.203
	
	
	
BANDHAN Flexi Cap Fund - Regular Plan - Growth	156.994
BANDHAN Flexi Cap Fund - Regular Plan - IDCW	43.372
BANDHAN Flexi Cap Fund-Direct Plan-Growth	169.492
BANDHAN Flexi Cap Fund-Direct Plan-IDCW	46.673
	
	
	
BANK OF INDIA Flexi Cap Fund Direct Plan -Growth	25.21
BANK OF INDIA Flexi Cap Fund Direct Plan -IDCW	21.55
BANK OF INDIA Flexi Cap Fund Regular Plan -Growth	23.89
BANK OF INDIA Flexi Cap Fund Regular Plan -IDCW	21.71
	
	
	
Baroda BNP Paribas Flexi Cap Fund - Direct Plan - Growth Option	11.7390
Baroda BNP Paribas Flexi Cap Fund - Direct Plan - IDCW Option	11.7390
Baroda BNP Paribas Flexi Cap Fund - Regular Plan - Growth Option	11.5020
Baroda BNP Paribas Flexi Cap Fund - Regular Plan - IDCW Option	11.5020
	
	
	
CANARA ROBECO FLEXICAP FUND - DIRECT PLAN - GROWTH OPTION	276.0000
CANARA ROBECO FLEXICAP FUND - DIRECT PLAN - IDCW (Payout/Reinvestment)	76.2900
CANARA ROBECO FLEXICAP FUND - REGULAR PLAN - GROWTH OPTION	251.1200
CANARA ROBECO FLEXICAP FUND - REGULAR PLAN - IDCW (Payout/Reinvestment)	51.2100
	
	
	
DSP Flexi Cap Fund - Direct Plan - Growth	84.155
DSP Flexi Cap Fund - Direct Plan - IDCW	79.736
DSP Flexi Cap Fund - Regular Plan - Growth	77.084
DSP Flexi Cap Fund - Regular Plan - IDCW	56.307
	
	
	
Edelweiss Flexi Cap Fund - Direct Plan - Growth Option	30.025
Edelweiss Flexi Cap Fund - Direct Plan - IDCW Option	24.65
Edelweiss Flexi Cap Fund - Regular - IDCW Option	21.903
Edelweiss Flexi Cap Fund - Regular Plan - Growth Option	26.675
	
	
	
Franklin India Flexi Cap Fund - Direct - Growth	1303.4258
Franklin India Flexi Cap Fund - Direct - IDCW 	61.7034
Franklin India Flexi Cap Fund - Growth	1186.7063
Franklin India Flexi Cap Fund - IDCW 	54.7374
	
	
	
HDFC Flexi Cap Fund - Growth Option - Direct Plan	1441.824
HDFC Flexi Cap Fund - Growth Plan	1334.328
HDFC Flexi Cap Fund - IDCW Option - Direct Plan	74.082
HDFC Flexi Cap Fund - IDCW Plan	64.127
	
	
	
HSBC Flexi Cap Fund - Direct Growth	169.0158
HSBC Flexi Cap Fund - Direct IDCW	36.8371
HSBC Flexi Cap Fund - Regular Growth	153.5553
HSBC Flexi Cap Fund - Regular IDCW	37.7252
	
	
	
ICICI Prudential Flexicap Fund - Direct Plan - Growth	13.97
ICICI Prudential Flexicap Fund - Direct Plan - IDCW	13.97
ICICI Prudential Flexicap Fund - Growth	13.55
ICICI Prudential Flexicap Fund - IDCW	13.54
	
	
	
Invesco India Flexi Cap Fund - Direct Plan - Growth	12.83
Invesco India Flexi Cap Fund - Direct Plan - IDCW	12.84
Invesco India Flexi Cap Fund - Growth	12.47
Invesco India Flexi Cap Fund - IDCW	12.47
	
	
	
ITI Flexi Cap Fund- Direct Plan- Growth	12.5538
ITI Flexi Cap Fund- Direct Plan- IDCW	12.5538
ITI Flexi Cap Fund- Regular Plan- Growth	12.3913
ITI Flexi Cap Fund- Regular Plan- IDCW	12.3913
	
	
	
JM Flexicap Fund (Direct) - Growth Option	77.0238
JM Flexicap Fund (Direct) - IDCW	70.0109
JM Flexicap Fund (Regular) - Growth option	69.3976
JM Flexicap Fund (Regular) - IDCW	53.4761
	
	
	
Kotak Flexicap Fund - Growth	62.05
Kotak Flexicap Fund - Growth - Direct	68.855
Kotak Flexicap Fund - Payout of Income Distribution cum capital withdrawal option	37.468
Kotak Flexicap Fund - Payout of Income Distribution cum capital withdrawal option- Direct	42.05
	
	
	
LIC MF Flexi Cap Fund-Direct Plan-Growth	84.8202
LIC MF Flexi Cap Fund-Direct Plan-IDCW	28.5592
LIC MF Flexi Cap Fund-Regular Plan-Growth	78.2782
LIC MF Flexi Cap Fund-Regular Plan-IDCW	24.7016
	
	
	
Mahindra Manulife Flexi Cap Fund - Direct Plan -Growth	12.9614
Mahindra Manulife Flexi Cap Fund - Direct Plan -IDCW	12.9614
Mahindra Manulife Flexi Cap Fund - Regular Plan -Growth	12.4241
Mahindra Manulife Flexi Cap Fund - Regular Plan -IDCW	12.4241
	
	
	
Mirae Asset Flexi Cap Fund - Direct Plan -  IDCW	11.937
Mirae Asset Flexi Cap Fund - Direct Plan - Growth	11.938
Mirae Asset Flexi Cap Fund - Regular Plan - Growth	11.817
Mirae Asset Flexi Cap Fund - Regular Plan - IDCW	11.822
	
	
	
Motilal Oswal Flexi Cap Fund Direct - IDCW Payout/Reinvestment	26.3106
Motilal Oswal Flexi cap Fund Direct Plan-Growth Option	43.1661
Motilal Oswal Flexi cap Fund Regular - IDCW Payout/Reinvestment	25.7111
Motilal Oswal Flexi Cap Fund Regular Plan-Growth Option	39.5429
	
	
	
Navi Flexi Cap Fund - Direct Plan - Growth	20.9111
NAVI FLEXI CAP FUND - DIRECT PLAN ANNUAL IDCW PAYOUT	20.7587
NAVI FLEXI CAP FUND - DIRECT PLAN HALF YEARLY IDCW PAYOUT	20.7595
NAVI FLEXI CAP FUND - DIRECT PLAN MONTHLY IDCW PAYOUT	20.7549
NAVI FLEXI CAP FUND - DIRECT PLAN NORMAL IDCW PAYOUT	20.7329
NAVI FLEXI CAP FUND - DIRECT PLAN QUARTERLY IDCW PAYOUT	20.7751
Navi Flexi Cap Fund - Regular Plan - Growth	18.8058
NAVI FLEXI CAP FUND - REGULAR PLAN ANNUAL IDCW PAYOUT	18.8061
NAVI FLEXI CAP FUND - REGULAR PLAN HALF YEARLY IDCW PAYOUT	18.8084
NAVI FLEXI CAP FUND - REGULAR PLAN MONTHLY IDCW PAYOUT	18.813
NAVI FLEXI CAP FUND - REGULAR PLAN NORMAL IDCW PAYOUT	18.8084
NAVI FLEXI CAP FUND - REGULAR PLAN QUARTERLY IDCW PAYOUT	18.8034
	
	
	
Nippon India Flexi Cap Fund - Direct Plan - Growth Plan - Growth Option	13.2410
Nippon India Flexi Cap Fund - Direct Plan - IDCW Option	13.2410
Nippon India Flexi Cap Fund - Regular Plan - Growth Plan - Growth Option	12.8107
Nippon India Flexi Cap Fund - Regular Plan - IDCW Option	12.8107
	
	
	
NJ Flexi Cap Fund - Direct Plan - Growth Option	10.19
NJ Flexi Cap Fund - Direct Plan - IDCW Option	10.19
NJ Flexi Cap Fund - Regular Plan - Growth Option	10.17
NJ Flexi Cap Fund - Regular Plan - IDCW Option	10.17
	
	
	
PGIM India Flexi Cap Fund - Direct Plan - Dividend Option	19.8
PGIM India Flexi Cap Fund - Direct Plan - Growth Option	31.92
PGIM India Flexi Cap Fund - Regular Plan - Dividend Option	17.95
PGIM India Flexi Cap Fund - Regular Plan - Growth Option	27.97
	
	
	
Parag Parikh Flexi Cap Fund - Direct Plan - Growth	63.5264
Parag Parikh Flexi Cap Fund - Regular Plan - Growth	59.0213
	
	
	
quant Flexi Cap Fund - Growth Option - Regular Plan	71.8291
quant Flexi Cap Fund - Growth Option-Direct Plan	78.2105
quant Flexi Cap Fund - IDCW Option - Direct Plan	53.2038
quant Flexi Cap Fund - IDCW Option - Regular Plan	51.34
	
	
	
Samco Flexi Cap Fund - Direct Plan - Growth Option	11.19
Samco Flexi Cap Fund - Regular Plan - Growth Option	10.90
	
	
	
SBI Flexicap Fund - DIRECT PLAN - Growth Option	94.9974
SBI Flexicap Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW)	47.4826
SBI Flexicap Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW)	38.6487
SBI Flexicap Fund - REGULAR PLAN -Growth Option	86.3126
	
	
	
Shriram Flexi Cap Fund - Direct Growth	18.1386
Shriram Flexi Cap Fund - Direct-IDCW	18.0146
Shriram Flexi Cap Fund - Regular Growth	16.5550
Shriram Flexi Cap Fund - Regular-IDCW	16.5473
	
	
	
Sundaram Flexicap Fund Direct Growth	11.6117
Sundaram Flexicap Fund Direct Plan IDCW Payout	11.6116
Sundaram Flexicap Fund Direct Plan IDCW Reinvestment	11.6116
Sundaram Flexicap Fund Regular Growth	11.3850
Sundaram Flexicap Fund Regular Plan IDCW Payout	11.3850
Sundaram Flexicap Fund Regular Plan IDCW Reinvestment	11.3850
	
	
	
TATA Flexi Cap Fund - Direct Plan - Payout of Income Distribution cum capital withdrawal option 	19.8770
Tata Flexi Cap Fund -Regular Plan-Growth	18.3110
TATA Flexi Cap Fund Direct Plan - Reinvestment of Income Distribution cum capital withdrawal option	19.8770
TATA Flexi Cap Fund Regular Plan - Payout of Income Distribution cum capital withdrawal option 	18.3110
TATA Flexi Cap Fund Regular Plan - Reinvestment of Income Distribution cum capital withdrawal option 	18.3110
Tata Flexi Cap Fund-Direct Plan-Growth	19.8770
	
	
	
Taurus Flexi Cap Fund - Direct Plan -  Payout of Income Distribution cum Capital Withdrawal option	91.86
Taurus Flexi Cap Fund - Direct Plan - Growth	182.07
Taurus Flexi Cap Fund - Regular Plan - Growth 	175.19
Taurus Flexi Cap Fund - Regular Plan - Payout of Income Distribution cum Capital Withdrawal option	85.02
	
	
	
Union Flexi Cap Fund - Direct Plan - Growth Option	42.93
Union Flexi Cap Fund - Direct Plan - IDCW Option	37.50
Union Flexi Cap Fund - Growth Option	39.34
Union Flexi Cap Fund - IDCW Option	24.85
	
	
	
UTI - Flexi Cap Fund-Growth Option	257.6965
UTI - Flexi Cap Fund-Growth Option - Direct	273.0604
UTI Flexi Cap Fund - Direct Plan - IDCW	181.7173
UTI Flexi Cap Fund - Regular Plan - IDCW	170.3725
	
	
	
WhiteOak Capital Flexi Cap Fund Direct Plan IDCW	12.641
WhiteOak Capital Flexi Cap Fund Direct Plan-Growth	12.641
WhiteOak Capital Flexi Cap Fund Regular Plan IDCW	12.399
WhiteOak Capital Flexi Cap Fund Regular Plan-Growth	12.399
	
	
	
	
	
360 ONE Focused Equity Fund - Direct Plan - Dividend	39.7524
360 ONE Focused Equity Fund - Regular Plan - Dividend	31.8864
360 ONE Focused Equity Fund -Regular Plan - Growth	36.0397
360 ONE Focused Equity Fund-Direct Plan-Growth	40.1620
	
	
	
Aditya Birla Sun Life Focused Equity Fund - Growth - Direct Plan	115.3422
Aditya Birla Sun Life Focused Equity Fund -Direct - IDCW	47.1432
Aditya Birla Sun Life Focused Equity Fund -Growth Option	104.1015
Aditya Birla Sun Life Focused Equity Fund -Regular - IDCW	20.3489
	
	
	
Axis Focused 25 Fund - Direct Plan - Growth Option	48.52
Axis Focused 25 Fund - Direct Plan - IDCW	32.12
Axis Focused 25 Fund - Regular Plan - Growth Option	42.74
Axis Focused 25 Fund - Regular Plan - IDCW	18.37
	
	
	
BANDHAN Focused Equity Fund - Regular Plan - Growth	61.088
BANDHAN Focused Equity Fund - Regular Plan - IDCW	16.134
BANDHAN Focused Equity Fund-Direct Plan-Growth	70.307
BANDHAN Focused Equity Fund-Direct Plan-IDCW	27.812
	
	
	
BARODA BNP PARIBAS Focused Fund - Direct Plan - Growth Option	18.5243
BARODA BNP PARIBAS Focused Fund - Direct Plan - IDCW Option	15.9503
BARODA BNP PARIBAS Focused Fund - Regular Plan - IDCW Option	14.5816
BARODA BNP PARIBAS Focused Fund - Regular Plan-Growth Option	16.8876
	
	
	
Canara Robeco Focused Equity Fund - Direct Plan - Growth Option	14.7600
Canara Robeco Focused Equity Fund - Direct Plan - IDCW (Payout/Reinvestment)	14.0300
Canara Robeco Focused Equity Fund - Regular Plan - Growth Option	14.1900
Canara Robeco Focused Equity Fund - Regular Plan - IDCW (Payout/Reinvestment)	13.4300
	
	
	
DSP Focus Fund - Direct Plan - Growth	42.994
DSP Focus Fund - Direct Plan - IDCW	35.577
DSP Focus Fund - Regular Plan - Growth	39.222
DSP Focus Fund - Regular Plan - IDCW	18.616
	
	
	
Edelweiss Focused Equity Fund - Direct Plan - Growth	12.182
Edelweiss Focused Equity Fund - Direct Plan - IDCW	12.181
Edelweiss Focused Equity Fund - Regular Plan - Growth	11.931
Edelweiss Focused Equity Fund - Regular Plan - IDCW	11.93
	
	
	
Franklin India Focused Equity Fund - Direct - Growth	89.5316
Franklin India Focused Equity Fund - Direct - IDCW 	36.9340
Franklin India Focused Equity Fund - Growth Plan	80.6110
Franklin India Focused Equity Fund - IDCW 	31.5591
	
	
	
HDFC Focused 30 Fund - Growth Option - Direct Plan	171.763
HDFC Focused 30 Fund - GROWTH PLAN	154.531
HDFC Focused 30 Fund - IDCW Option - Direct Plan	25.392
HDFC Focused 30 Fund - IDCW PLAN	20.75
	
	
	
HSBC Focused Fund - Direct Growth	19.5542
HSBC Focused Fund - Direct IDCW	17.3510
HSBC Focused Fund - Regular Growth	18.6105
HSBC Focused Fund - Regular IDCW	15.4946
	
	
	
ICICI Prudential Focused Equity Fund - Direct Plan - Growth	68.07
ICICI Prudential Focused Equity Fund - Direct Plan - IDCW	42.83
ICICI Prudential Focused Equity Fund - Growth	60.63
ICICI Prudential Focused Equity Fund - IDCW	21.11
	
	
	
Invesco India Focused 20 Equity Fund - Direct Plan - Growth	18.18
Invesco India Focused 20 Equity Fund - Direct Plan - IDCW (Payout / Reinvestment)	16.41
Invesco India Focused 20 Equity Fund - Growth	17.3
Invesco India Focused 20 Equity Fund - IDCW (Payout / Reinvestment)	15.56
	
	
	
ITI Focused Equity Fund - Direct Plan - Growth	10.6577
ITI Focused Equity Fund - Direct Plan - IDCW	10.6577
ITI Focused Equity Fund - Regular Plan - Growth	10.5909
ITI Focused Equity Fund - Regular Plan - IDCW	10.5909
	
	
	
JM Focused Fund (Direct)  - Growth Option	17.0149
JM Focused Fund (Direct) -  IDCW	16.6751
JM Focused Fund (Regular) - Growth Option	14.9556
JM Focused Fund (Regular) - IDCW	14.9550
	
	
	
Kotak Focused equity Fund- Direct Plan- Growth option	19.836
Kotak Focused Equity Fund- Regular plan _ Growth Option	18.489
Kotak Focused Equity Fund- Regular Plan-Income Distribution cum capital withdrawal option	18.489
Kotak Focused Equity Fund-Direct Plan- Income Distribution cum capital withdrawal option	19.837
	
	
	
LIC MF Focused 30 Equity Fund-Direct Plan-Growth	18.5736
LIC MF Focused 30 Equity Fund-Direct Plan-IDCW	18.5733
LIC MF Focused 30 Equity Fund-Regular Plan-Growth	17.1887
LIC MF Focused 30 Equity Fund-Regular Plan-IDCW	17.1886
	
	
	
Mahindra Manulife Focused Fund - Direct Plan - IDCW	16.3091
Mahindra Manulife Focused Fund - Direct Plan -Growth	20.0694
Mahindra Manulife Focused Fund - Regular Plan - Growth	18.9123
Mahindra Manulife Focused Fund - Regular Plan - IDCW	15.2732
	
	
	
Mirae Asset Focused Fund Direct IDCW	21.887
Mirae Asset Focused Fund Direct Plan Growth	21.892
Mirae Asset Focused Fund Regular IDCW	20.549
Mirae Asset Focused Fund Regular Plan Growth	20.545
	
	
	
Motilal Oswal Focused 25 Fund (MOF25)- Direct Plan Growth Option	42.4123
Motilal Oswal Focused 25 Fund (MOF25)- Regular Plan Growth Option	37.0195
Motilal Oswal Focused 25 Fund Direct - IDCW Payout/Reinvestment	21.5491
Motilal Oswal Focused 25 Fund Regular - IDCW Payout/Reinvestment	18.8853
	
	
	
NIPPON INDIA FOCUSED EQUITY FUND - DIRECT Plan - IDCW Option	42.2171
Nippon India Focused Equity Fund - Direct Plan Growth Plan - Growth Option	101.5480
NIPPON INDIA FOCUSED EQUITY FUND - IDCW OPTION	31.8115
Nippon India Focused Equity Fund -Growth Plan -Growth Option	93.4224
	
	
	
quant Focused Fund - Growth Option - Regular Plan	65.6304
quant Focused Fund - Growth Option-Direct Plan	70.8875
quant Focused Fund - IDCW Option - Direct Plan	41.4431
quant Focused Fund - IDCW Option - Regular Plan	48.791
	
	
	
SBI Focused Equity Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW)	71.9435
SBI FOCUSED EQUITY FUND - DIRECT PLAN -GROWTH	295.2223
SBI Focused Equity Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW)	48.8045
SBI FOCUSED EQUITY FUND - REGULAR PLAN -GROWTH	266.8260
	
	
	
Sundaram Focused Fund (Formerly Known as Principal Focused Multicap Fund)- Direct Plan - Growth Option	135.5785
Sundaram Focused Fund (Formerly Known as Principal Focused Multicap Fund)- Direct Plan - Half Yearly Income Distribution CUM Capital Withdrawal Option	38.5126
Sundaram Focused Fund (Formerly Known as Principal Focused Multicap Fund)-Growth Option	124.6231
Sundaram Focused Fund (Formerly Known as Principal Focused Multicap Fund)-Half Yearly Income Distribution CUM Capital Withdrawal Option	36.0560
	
	
	
TATA Focused Equity Fund Direct Plan - Payout of Income Distribution cum capital withdrawal option 	19.0523
TATA Focused Equity Fund Direct Plan - Reinvestment of Income Distribution cum capital withdrawal option 	19.0523
TATA Focused Equity Fund Regular Plan - Payout of Income Distribution cum capital withdrawal option 	17.7890
TATA Focused Equity Fund Regular Plan - Reinvestment of Income Distribution cum capital withdrawal option 	17.7890
Tata Focused Equity Fund-Direct Plan-Growth	19.0523
Tata Focused Equity Fund-Regular Plan-Growth	17.7890
	
	
	
Union Focused Fund - Direct Plan - Growth Option	21.20
Union Focused Fund - Direct Plan - IDCW Option	21.20
Union Focused Fund - Regular Plan - Growth Option	20.39
Union Focused Fund - Regular Plan - IDCW Option	20.39
	
	
	
UTI Focused Equity Fund - Direct Plan - Growth Option	12.3908
UTI Focused Equity Fund - Direct Plan - IDCW Payout Option	12.3905
UTI Focused Equity Fund - Regular Plan - Growth Option	11.949
UTI Focused Equity Fund - Regular Plan - IDCW Payout Option	11.949
	
	
	
	
	
Aditya Birla Sun Life Equity Advantage Fund - Growth - Direct Plan	767.06
Aditya Birla Sun Life Equity Advantage Fund - Regular Growth	699.49
Aditya Birla Sun Life Equity Advantage Fund -Direct - IDCW	176.42
Aditya Birla Sun Life Equity Advantage Fund -Regular - IDCW	116.43
	
	
	
Axis Growth Opportunities Fund - Direct Plan - Growth	25.46
Axis Growth Opportunities Fund - Direct Plan - IDCW	21.58
Axis Growth Opportunities Fund - Regular Plan - Growth	23.57
Axis Growth Opportunities Fund - Regular Plan - IDCW	17.37
	
	
	
BANDHAN Core Equity Fund - Regular Plan - Growth	89.090
BANDHAN Core Equity Fund - Regular Plan - IDCW	22.492
BANDHAN Core Equity Fund-Direct Plan-Growth	101.732
BANDHAN Core Equity Fund-Direct Plan-IDCW	28.891
	
	
	
BANK OF INDIA Large & Mid Cap  Equity Fund Regular Plan- Quarterly IDCW	23.73
BANK OF INDIA Large & Mid Cap Equity Fund Direct  Plan- Quarterly IDCW	20.40
BANK OF INDIA Large & Mid Cap Equity Fund Direct Plan- Bonus	37.91
BANK OF INDIA Large & Mid Cap Equity Fund Direct Plan-Growth	73.38
BANK OF INDIA Large & Mid Cap Equity Fund Direct Plan-Regular IDCW	20.10
BANK OF INDIA Large & Mid Cap Equity Fund Eco Plan- Growth	70.77
BANK OF INDIA Large & Mid Cap Equity Fund Eco Plan-Bonus	70.77
BANK OF INDIA Large & Mid Cap Equity Fund Eco Plan-Quarterly IDCW	19.96
BANK OF INDIA Large & Mid Cap Equity Fund Eco Plan-Regular IDCW	19.81
BANK OF INDIA Large & Mid Cap Equity Fund Regular Plan- Growth	65.17
BANK OF INDIA Large & Mid Cap Equity Fund Regular Plan- Regular IDCW	19.45
BANK OF INDIA Large & Mid Cap Equity Fund Regular Plan-Bonus	65.16
	
	
	
Baroda BNP Paribas Large and Mid Cap Fund- Direct Plan -Growth Option	20.1067
Baroda BNP Paribas Large and Mid Cap Fund-Direct Plan-IDCW Option	18.4907
Baroda BNP Paribas Large and Mid Cap Fund-Regular Plan-Growth Option	19.1414
Baroda BNP Paribas Large and Mid Cap Fund-Regular plan-IDCW Option	16.5509
	
	
	
CANARA ROBECO EMERGING EQUITIES - DIRECT PLAN - GROWTH OPTION	205.9600
CANARA ROBECO EMERGING EQUITIES - DIRECT PLAN - IDCW (Payout/Reinvestment)	103.3500
CANARA ROBECO EMERGING EQUITIES - REGULAR PLAN - GROWTH OPTION	183.1800
CANARA ROBECO EMERGING EQUITIES - REGULAR PLAN - IDCW (Payout/Reinvestment)	69.1800
	
	
	
DSP Equity Opportunities Fund - Direct Plan - Growth	471.921
DSP Equity Opportunities Fund - Direct Plan - IDCW	90.764
DSP Equity Opportunities Fund-Regular Plan - Growth	430.061
DSP Equity Opportunities Fund-Regular Plan - IDCW	32.421
	
	
	
Edelweiss Large & Mid Cap Fund - Direct Plan - Growth Option	71.712
Edelweiss Large & Mid Cap Fund - Regular Plan - Growth Option	62.526
Edelweiss Large and Mid Cap Fund - Direct Plan - IDCW Option	27.816
Edelweiss Large and Mid Cap Fund - Regular Plan - IDCW Option	23.847
	
	
	
Franklin India Equity Advantage Fund - Direct - Growth	150.2117
Franklin India Equity Advantage Fund - Direct - IDCW 	21.1373
Franklin India Equity Advantage Fund - Growth Plan	138.4503
Franklin India Equity Advantage Fund - IDCW 	18.7357
	
	
	
HDFC Large and Mid Cap Fund - Growth Option	244.673
HDFC Large and Mid Cap Fund - Growth Option - Direct Plan	253.603
HDFC Large and Mid Cap Fund - IDCW Option	30.739
HDFC Large and Mid Cap Fund - IDCW Option - Direct Plan	38.461
	
	
	
HSBC Large & Mid Cap Fund - Direct Growth	20.3555
HSBC Large & Mid Cap Fund - Direct IDCW	18.6548
HSBC Large & Mid Cap Fund - Regular Growth	18.9689
HSBC Large & Mid Cap Fund - Regular IDCW	17.3187
	
	
	
ICICI Prudential Large & Mid Cap Fund - Direct Plan - Growth	754.50
ICICI Prudential Large & Mid Cap Fund - Direct Plan - IDCW	41.29
ICICI Prudential Large & Mid Cap Fund - Growth	686.05
ICICI Prudential Large & Mid Cap Fund - IDCW	26.22
	
	
	
Invesco India Growth Opportunities Fund - Direct Plan - Growth	71.51
Invesco India Growth Opportunities Fund - Direct Plan - IDCW (Payout / Reinvestment)	35.94
Invesco India Growth Opportunities Fund - Growth	61.65
Invesco India Growth Opportunities Fund - IDCW (Payout / Reinvestment)	30.54
	
	
	
Kotak Equity Opportunities Fund - Growth	246.585
Kotak Equity Opportunities Fund - Growth - Direct	277.713
Kotak Equity Opportunities Fund - Payout of Income Distribution cum capital withdrawal option	43.02
Kotak Equity Opportunities Fund - Payout of Income Distribution cum capital withdrawal option - Direct	49.005
	
	
	
LIC MF Large & Mid Cap Fund-Direct Plan-Growth	30.8617
LIC MF Large & Mid Cap Fund-Direct Plan-IDCW	24.4892
LIC MF Large & Mid Cap Fund-Regular Plan-Growth	27.4556
LIC MF Large & Mid Cap Fund-Regular Plan-IDCW	22.2295
	
	
	
Mahindra Manulife Large & Mid Cap Fund - Direct Plan - IDCW	18.9126
Mahindra Manulife Large & Mid Cap Fund - Direct Plan -Growth	22.1098
Mahindra Manulife Large & Mid Cap Fund - Regular Plan - Growth	20.6163
Mahindra Manulife Large & Mid Cap Fund - Regular Plan - IDCW	17.4831
	
	
	
Mirae Asset Emerging Bluechip Fund - Direct Plan - Growth	125.464
Mirae Asset Emerging Bluechip Fund - Regular Plan - Growth Option	113.333
Mirae Asset Emerging Bluechip Fund Direct IDCW	68.662
Mirae Asset Emerging Bluechip Fund Regular IDCW	40.656
	
	
	
Motilal Oswal Large and Midcap Fund - Direct Plan Growth	22.8312
Motilal Oswal Large and Midcap Fund - Regular Plan Growth	21.4056
Motilal Oswal Large and Midcap Fund Direct - IDCW Payout/Reinvestment	19.7766
Motilal Oswal Large and Midcap Fund Regular - IDCW Payout/Reinvestment	18.7988
	
	
	
Navi Large & Midcap Fund - Direct Annual IDCW Payout	32.4649
Navi Large & Midcap Fund - Direct Half Yearly IDCW Payout	32.4938
Navi Large & Midcap Fund - Direct Normal IDCW Payout	32.5743
Navi Large & Midcap Fund - Regular Annual IDCW payout	29.3249
NAVI Large & Midcap Fund - Regular Half Yearly IDCW Payout	28.5195
Navi Large & Midcap Fund - Regular Normal IDCW Payout	28.5089
Navi Large & Midcap Fund- Direct Plan- Growth Option	32.971
Navi Large & Midcap Fund- Regular Plan- Growth Option	28.5123
	
	
	
NIPPON INDIA VISION FUND - DIRECT Plan - IDCW Option	59.4795
Nippon India Vision Fund - Direct Plan Growth Plan - Bonus Option	180.4839
Nippon India Vision Fund - Direct Plan Growth Plan - Growth Option	1064.5366
NIPPON INDIA VISION FUND - IDCW Option	53.7519
Nippon India Vision Fund Institutional Dividend Plan	258.7308
Nippon India Vision Fund-GROWTH PLAN-Bonus Option	168.3389
Nippon India Vision Fund-GROWTH PLAN-Growth Option	999.4853
	
	
