Scheme Name	Net Asset Value
Tata Banking & PSU Debt Fund-Direct Plan-Growth	12.8199
Tata Banking & PSU Debt Fund-Regular Plan-Growth	12.5647
	
	
	
TRUSTMF BANKING & PSU DEBT FUND - DIRECT GROWTH	1131.9848
TRUSTMF BANKING & PSU DEBT FUND - REGULAR GROWTH	1116.8121
TRUSTMF BANKING & PSU DEBT FUND DIRECT PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION	1060.0034
TRUSTMF BANKING & PSU DEBT FUND DIRECT PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1135.3991
TRUSTMF BANKING & PSU DEBT FUND DIRECT PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION	1046.9458
TRUSTMF BANKING & PSU DEBT FUND DIRECT PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1065.0549
TRUSTMF BANKING & PSU DEBT FUND DIRECT PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1037.1902
TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1045.223
TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1118.126
TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1037.8072
TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1051.4528
TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1030.4861
	
	
	
UTI Banking & PSU Debt Fund - Direct Plan - Annual IDCW	12.379
UTI Banking & PSU Debt Fund - Direct Plan - Flexi IDCW	16.7282
UTI Banking & PSU Debt Fund - Direct Plan - Growth Option	19.4123
UTI Banking & PSU Debt Fund - Direct Plan - Half-Yearly IDCW	12.8815
UTI Banking & PSU Debt Fund - Direct Plan - Monthly IDCW	12.6519
UTI Banking & PSU Debt Fund - Direct Plan - Quarterly IDCW	14.4483
UTI Banking & PSU Debt Fund - Regular Plan - Annual IDCW	12.2193
UTI Banking & PSU Debt Fund - Regular Plan - Flexi IDCW	12.8544
UTI Banking & PSU Debt Fund - Regular Plan - Half-Yearly IDCW	12.8007
UTI Banking & PSU Debt Fund - Regular Plan - Monthly IDCW	12.5104
UTI Banking & PSU Debt Fund - Regular Plan - Quarterly IDCW	13.1543
UTI Banking & PSU Debt Fund- Regular Plan - Growth Option	19.1685
	
	
	
	
	
Aditya Birla Sun Life Corporate Bond Fund - Growth - Direct Plan	99.2178
Aditya Birla Sun Life Corporate Bond Fund - Growth - Regular Plan	97.8633
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - IDCW	11.3011
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - MONTHLY IDCW	12.4649
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - IDCW	12.7324
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - MONTHLY IDCW	12.3154
Aditya Birla Sun Life Income Fund-Plan A(Dividend)	11.7535
Aditya Birla Sun Life Income Fund-Plan D(54EA Dividend)	10.6457
Aditya Birla Sun Life Income Fund-Plan E(54EA Growth)	35.2986
Aditya Birla Sun Life Income Fund-PLan F(54EB Dividend)	15.5708
Aditya Birla Sun Life Income Fund-Plan G(54EB Growth)	35.0763
	
	
	
Axis Corporate Debt Fund - Direct Plan - Daily IDCW	10.2246
Axis Corporate Debt Fund - Direct Plan - Monthly IDCW	10.1919
Axis Corporate Debt Fund - Direct Plan - Regular IDCW	13.1925
Axis Corporate Debt Fund - Direct Plan - Weekly IDCW	10.3611
Axis Corporate Debt Fund - Direct Plan Growth	15.5472
Axis Corporate Debt Fund - Regular Plan - Daily IDCW	10.2231
Axis Corporate Debt Fund - Regular Plan - Monthly IDCW	10.1860
Axis Corporate Debt Fund - Regular Plan - Regular IDCW	12.5237
Axis Corporate Debt Fund - Regular Plan - Weekly IDCW	10.2414
Axis Corporate Debt Fund - Regular Plan Growth	14.8393
	
	
	
BANDHAN Corporate Bond Fund - Direct Annual IDCW	10.5531
BANDHAN Corporate Bond Fund - Direct Growth	17.2557
BANDHAN Corporate Bond Fund - Direct Half Yearly IDCW	11.3774
BANDHAN Corporate Bond Fund - Direct Monthly IDCW	10.3665
BANDHAN Corporate Bond Fund - Direct Periodic IDCW	11.4481
BANDHAN Corporate Bond Fund - Direct Quarterly IDCW	10.4116
BANDHAN Corporate Bond Fund - Regular Annual IDCW	10.5324
BANDHAN Corporate Bond Fund - Regular Growth	16.8489
BANDHAN Corporate Bond Fund - Regular Half Yearly IDCW	10.7950
BANDHAN Corporate Bond Fund - Regular Monthly IDCW	10.6194
BANDHAN Corporate Bond Fund - Regular Periodic IDCW	11.3583
BANDHAN Corporate Bond Fund - Regular Quarterly IDCW	10.4552
	
	
	
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Annual-IDCW Option	10.6395
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Growth Option	27.4995
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Monthly-IDCW Option	10.1216
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Quarterly-IDCW Option	10.1348
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Annual IDCW Option	10.8228
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Growth Option	25.1078
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Monthly IDCW Option	10.2174
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Quarterly IDCW Option	10.3030
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - ANNUAL IDCW OPTION	10.5755
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - GROWTH OPTION	23.7610
